timestamp,yhat,yhat_p99
2026-07-27 00:00:00,-211.22,-64.98
2026-07-27 00:05:00,-256.81,-110.57
2026-07-27 00:10:00,-234.23,-87.99
2026-07-27 00:15:00,-142.3,3.94
2026-07-27 00:20:00,-66.23,80.01
2026-07-27 00:25:00,-28.5,117.74
2026-07-27 00:30:00,5.9,152.14
2026-07-27 00:35:00,45.74,191.98
2026-07-27 00:40:00,71.76,218.0
2026-07-27 00:45:00,94.61,240.85
2026-07-27 00:50:00,86.03,232.27
2026-07-27 00:55:00,95.57,241.81
2026-07-27 01:00:00,115.24,261.48
2026-07-27 01:05:00,119.36,265.6
2026-07-27 01:10:00,136.89,283.13
2026-07-27 01:15:00,125.6,271.84
2026-07-27 01:20:00,120.62,266.86
2026-07-27 01:25:00,100.32,246.56
2026-07-27 01:30:00,90.53,236.77
2026-07-27 01:35:00,116.43,262.67
2026-07-27 01:40:00,110.63,256.87
2026-07-27 01:45:00,118.87,265.11
2026-07-27 01:50:00,105.86,252.1
2026-07-27 01:55:00,119.83,266.07
2026-07-27 02:00:00,118.62,264.86
2026-07-27 02:05:00,115.55,261.79
2026-07-27 02:10:00,113.74,259.98
2026-07-27 02:15:00,110.0,256.24
2026-07-27 02:20:00,108.62,254.86
2026-07-27 02:25:00,126.42,272.66
2026-07-27 02:30:00,135.42,281.66
2026-07-27 02:35:00,145.77,292.01
2026-07-27 02:40:00,127.39,273.63
2026-07-27 02:45:00,110.53,256.77
2026-07-27 02:50:00,107.8,254.04
2026-07-27 02:55:00,118.66,264.9
2026-07-27 03:00:00,141.76,288.0
2026-07-27 03:05:00,120.16,266.4
2026-07-27 03:10:00,89.41,235.65
2026-07-27 03:15:00,106.64,252.88
2026-07-27 03:20:00,117.64,263.88
2026-07-27 03:25:00,129.09,275.33
2026-07-27 03:30:00,126.66,272.9
2026-07-27 03:35:00,117.54,263.78
2026-07-27 03:40:00,114.9,261.14
2026-07-27 03:45:00,121.6,267.84
2026-07-27 03:50:00,130.45,276.69
2026-07-27 03:55:00,128.06,274.3
2026-07-27 04:00:00,125.24,271.48
2026-07-27 04:05:00,135.91,282.15
2026-07-27 04:10:00,125.44,271.68
2026-07-27 04:15:00,132.62,278.86
2026-07-27 04:20:00,133.25,279.49
2026-07-27 04:25:00,107.93,254.17
2026-07-27 04:30:00,114.93,261.17
2026-07-27 04:35:00,102.92,249.16
2026-07-27 04:40:00,120.37,266.61
2026-07-27 04:45:00,117.27,263.51
2026-07-27 04:50:00,145.82,292.06
2026-07-27 04:55:00,120.87,267.11
2026-07-27 05:00:00,144.01,290.25
2026-07-27 05:05:00,111.93,258.17
2026-07-27 05:10:00,118.1,264.34
2026-07-27 05:15:00,125.76,272.0
2026-07-27 05:20:00,135.33,281.57
2026-07-27 05:25:00,150.57,296.81
2026-07-27 05:30:00,152.17,298.41
2026-07-27 05:35:00,142.25,288.49
2026-07-27 05:40:00,136.12,282.36
2026-07-27 05:45:00,159.16,305.4
2026-07-27 05:50:00,133.23,279.47
2026-07-27 05:55:00,112.92,259.16
2026-07-27 06:00:00,114.38,260.62
2026-07-27 06:05:00,115.0,261.24
2026-07-27 06:10:00,141.87,288.11
2026-07-27 06:15:00,147.31,293.55
2026-07-27 06:20:00,163.94,310.18
2026-07-27 06:25:00,148.39,294.63
2026-07-27 06:30:00,148.47,294.71
2026-07-27 06:35:00,160.77,307.01
2026-07-27 06:40:00,151.1,297.34
2026-07-27 06:45:00,161.41,307.65
2026-07-27 06:50:00,156.09,302.33
2026-07-27 06:55:00,154.09,300.33
2026-07-27 07:00:00,156.84,303.08
2026-07-27 07:05:00,128.85,275.09
2026-07-27 07:10:00,145.79,292.03
2026-07-27 07:15:00,193.84,340.08
2026-07-27 07:20:00,182.61,328.85
2026-07-27 07:25:00,189.89,336.13
2026-07-27 07:30:00,201.51,347.75
2026-07-27 07:35:00,177.72,323.96
2026-07-27 07:40:00,177.78,324.03
2026-07-27 07:45:00,154.56,300.8
2026-07-27 07:50:00,168.12,314.36
2026-07-27 07:55:00,133.45,279.69
2026-07-27 08:00:00,132.83,279.07
2026-07-27 08:05:00,117.28,263.52
2026-07-27 08:10:00,134.58,280.82
2026-07-27 08:15:00,184.36,330.6
2026-07-27 08:20:00,157.22,303.46
2026-07-27 08:25:00,185.96,332.2
2026-07-27 08:30:00,203.8,350.04
2026-07-27 08:35:00,202.1,348.34
2026-07-27 08:40:00,218.09,364.33
2026-07-27 08:45:00,193.07,339.31
2026-07-27 08:50:00,193.86,340.1
2026-07-27 08:55:00,187.41,333.65
2026-07-27 09:00:00,198.16,344.4
